License Number,Facility Name,Address,Email,Website,Facility/Program Type,Phone,Enrolled in Subsidized Child Care Program
41002235,CJ'S CHILDCARE 1, INC,1901 AUTUMN COURT  GREENSBORO NC 27406  Guilford,cjschildcare1@gmail.com,,Child Care Center,3363791230,Yes
41002360,ABC DAYCARE CENTER,606 MERRITT DRIVE  GREENSBORO NC 27407  Guilford,msparks0967@aol.com,,Child Care Center,3362028677,No
60002374,A MOTHER'S TOUCH FAMILY CHILDCARE,5200 ROCKWOOD ROAD  CHARLOTTE NC 28216  Mecklenburg,sakia1908@gmail.com,,Child Care Center,7043950352,Yes
1153238,ASHEVILLE HIGH SCHOOL PRE K,419 MCDOWELL STREET  ASHEVILLE NC 28803  Buncombe,Susanna.Smith@acsgmail.net,,Child Care Center,8283502900,Yes
41002391,APPLEVILLE ACADEMY,2204 JOAN AVENUE  GREENSBORO NC 27455  Guilford,applevilleacademy@gmail.com,,Child Care Center,3368085887,No
60004242,BOM MOM DAYCARE,2316 TALLET TRACE  CHARLOTTE NC 28216  Mecklenburg,Bommomco@gmail.com,,Family Child Care Home,7048068303,No
60004243,LIGHTBRIDGE ACADEMY OF HUNTERSVILLE,12830 Eastfield Road  HUNTERSVILLE NC 28078  Mecklenburg,dmazur@lightbridgeacademy.com,,Child Care Center,7049925644,No
65000244,BRIGHTER DAY DAYCARE,1409 CHURCH STREET  WILMINGTON NC 28401  New Hanover,tanistoo@aol.com; ednarob55@gmail.com,,Child Care Center,9103439651,Yes
31000245,BERENSTAIN BEARS FAMILY CHILDCARE HOME,224 1ST BAPTIST CH LANE  WARSAW NC 28398  Duplin,loistinewinston@icloud.com,,Family Child Care Home,9102930132,Yes
41002461,ABG PROVIDER SERVICES CHILD CARE,2607 EAST WENDOVER AVENUE  GREENSBORO NC 27405  Guilford,abgproviderservices@ymail.com,,Child Care Center,9103188224,Yes
79000247,BETHANY ELEMENTARY SCHOOL AGE CHILD CARE,271 BETHANY ROAD  REIDSVILLE NC 27320  Rockingham,sbelvin@rock.k12.nc.us,,Child Care Center,3369512710,Yes
92002485,ALL STARZ CHILDREN'S ACADEMY,6410 MCCRIMMON PARKWAY  MORRISVILLE NC 27560  Wake,morrisville@allstarzchildrensacademy.com,www.allstarzchildrensacademy.com,Child Care Center,9194673339,No
26002517,A PLACE TO GROW,8337 ENGLISH SADDLE DRIVE  FAYETTEVILLE NC 28314  Cumberland,Cabina17@gmail.com,,Family Child Care Home,9106895307,No
79000252,EDU CARE ACADEMY II,247 DAN VALLEY RD  MAYODAN NC 27027  Rockingham,academyeducare@yahoo.com,,Child Care Center,3364275550,Yes
13000255,A PLACE TO GROW,2300 ROBERTA ROAD  CONCORD NC 28027  Cabarrus,aptgrow@gmail.com,,Child Care Center,7047920140,Yes
26002563,BABIES LEARNING CENTER,3916 FOSTER DRIVE  FAYETTEVILLE NC 28311  Cumberland,babieslearningcenter@gmail.com,,Family Child Care Home,9107104705,No
26002571,BUZZIE BODIES EARLY LEARNING CHILD CARE, LLC,6124 LAKEWAY DRIVE  FAYETTEVILLE NC 28306  Cumberland,Buzziebodies@gmail.com,,Family Child Care Home,9102299974,No
86000258,ELKIN ELEMENTARY PRESCHOOL,135 OLD VIRGINIA ROAD  ELKIN NC 28621  Surry,colbertp@elkin.k12.nc.us,,Child Care Center,3368352756,Yes
9259002,BEACON BAPTIST CHURCH DAYCARE,2110 TRAWICK ROAD  RALEIGH NC 27604  Wake,modesticavenaugh@raleighchristian.com,bbcdaycare.com,Child Care Center,9198722215,No
92002614,BOUNTIFUL BLESSINGS CHILD DEVELOPMENT HOME,3619 RIVERMIST DR  RALEIGH NC 27610  Wake,bblessingscdh@hotmail.com,www.bbcdh.webs,Family Child Care Home,9197906953,Yes
65000262,ADRIENE'S DAY CARE HOME,1901 ANN ST  WILMINGTON NC 28403  New Hanover,adhomec@att.net,,Family Child Care Home,9107625996,Yes
71000263,FUTURE LEADERS CHILDCARE LLC,700 WEST FREEMONT  BURGAW NC 28425  Pender,tabathalatonya@yahoo.com,,Family Child Care Home,9104731716,Yes
28000264,ABC'S CHILD CARE HOME,1512 SMALL COURT  KILL DEVIL HILLS NC 27948  Dare,yara378@yahoo.com,,Family Child Care Home,2529025458,No
2655200,BORDEAUX CREATIVE SCHOOL,3005 BOONE TRAIL EXT  FAYETTEVILLE NC 28304  Cumberland,vanessa.mckoy@creativeschools.com,www.creativeschools.com,Child Care Center,9103239711,Yes
80000266,CORNERSTONE CHILD DEVELOPMENT CENTER-CITY,1325 FAITH ROAD  SALISBURY NC 28146  Rowan,city@cornerstonecdc.com,,Child Care Center,7046330016,Yes
90000268,ANTIOCH ELEMENTARY AFTER SCHOOL,3101 ANTIOCH CHURCH ROAD  MATTHEWS NC 28104  Union,laquanda.chambers@ucps.k12.nc.us,,Child Care Center,7042960578,Yes
26002269,FISHER STREET HEAD START CENTER,510 FISHER STREET  FAYETTEVILLE NC 28301  Cumberland,robin.harris@actionpathways.ngo,,Child Care Center,9104879800,No
27000134,Beach Buddies Academy LLC,108 Bryan Road  KNOTTS ISLAND NC 27950  Currituck,kellybeach92@gmail.com,,Child Care Center,7577013856,No
91000271,CLARKE ELEMENTARY PRE-K,309 MT CARMEL CHURCH ROAD  HENDERSON NC 27537  Vance,hsomerville@vcs.k12.nc.us,,Child Care Center,2524388415,No
83000272,ADVENTURES IN LEARNING,604 SCARLETT COURT  LAURINBURG NC 28352  Scotland,vicbull35@gmail.com,,Family Child Care Home,9109225127,Yes
79000273,A STEP BEYOND CHILD DEVELOPMENT HOME,8157 HIGHWAY 158  REIDSVILLE NC 27320  Rockingham,kycmdj@aol.com,,Family Child Care Home,3363429247,Yes
41002274,BROOKHAVEN COUNTRY DAY SCHOOL,3207 HORSE PEN CREEK ROAD  GREENSBORO NC 27410  Guilford,info@brookhavencountryday.com,,Child Care Center,3365455300,Yes
83000275,CHRIST THE CORNERSTONE PRESCHOOL,10401 MCCOLL ROAD  LAURINBURG NC 28352  Scotland,luannrhyne@gmail.com,,Child Care Center,9106105855,No
41002276,CHILDCARE NETWORK #298,5312 W FRIENDLY AVE  GREENSBORO NC 27410  Guilford,cni298@childcarenetwork.com,,Child Care Center,3368515678,Yes
60002788,COTSWOLD ELEMENTARY ASEP,300 GREENWICH ROAD  CHARLOTTE NC 28211  Mecklenburg,nina.gee@cms.k12.nc.us,,Child Care Center,9803436720,Yes
13000279,BETHEL KIDS:PLUS,2425 MIDLAND ROAD  MIDLAND NC 28107  Cabarrus,kidsplus@cabarrus.k12.nc.us,,Child Care Center,7042606087,Yes
60002282,BABBSY'S CHILD CARE,4019 BELSHIRE LANE  CHARLOTTE NC 28205  Mecklenburg,babbsys57@yahoo.com,,Family Child Care Home,7042936157,Yes
68000283,CHILDREN'S CAMPUS OF CHAPEL HILL,110 KINGSTON DR  CHAPEL HILL NC 27514  Orange,sarah@childrenscampus.com,www.childrenscampus.com,Child Care Center,9199675020,Yes
60002841,ACHIEVERS AND BELIEVERS FAMILY DAYCARE HOME,212 ECHODALE DRIVE  CHARLOTTE NC 28217  Mecklenburg,missadunlap@ymail.com,,Family Child Care Home,7042774328,Yes
34001285,CHILDCARE NETWORK #299,3595 REYNOLDA ROAD  WINSTON-SALEM NC 27106  Forsyth,cni299@childcarenetwork.com,,Child Care Center,3369238698,Yes
41002286,ABG PROVIDER SERVICES CHILD CARE II,2211 JANE STREET  GREENSBORO NC 27407  Guilford,pratttoshika@yahoo.com,,Child Care Center,3362798885,Yes
81000289,CHOICE CARE PLAYSCHOOL, LLC.,123 PARK LANE DRIVE  RUTHERFORDTON NC 28139  Rutherford,ealane135@aol.com,,Child Care Center,8283750156,Yes
36000291,CLINE LEARNING CENTER OF DALLAS III,4338 DALLAS CHERRYVILLE HWY  BESSEMER CITY NC 28016  Gaston,clinedallascherryville@gmail.com,,Child Care Center,7049229799,Yes
97000292,DOUBLE TROUBLE EARLY LEARNING CENTER OF WILKESBORO,374 LINCOLN HEIGHTS RD  SUITE A  WILKESBORO NC 28697  Wilkes,doubletrouble5001@gmail.com,,Child Care Center,3368181654,Yes
32002293,ABUNDANT LOVE CHRISTIAN DAYCARE,4823 MEADOW DRIVE BUILDING 300  DURHAM NC 27713  Durham,abundantlovechristiandaycare@gmail.com,,Child Care Center,9199089551,Yes
92002942,FOUNDATIONS ACADEMY,2823 SANDERFORD ROAD  RALEIGH NC 27610  Wake,j-dallen@live.com,www.foundationsacademyraleigh.com,Child Care Center,9198337309,Yes
92002971,ABI'S HOME CHILD CARE,2812 DANCER COURT  RALEIGH NC 27610  Wake,abishomechildcare@gmail.com,,Family Child Care Home,9198297091,Yes
60002981,BARNETTE ELEMENTARY ASEP,13659 BEATTIES FORD ROAD  HUNTERSVILLE NC 28078  Mecklenburg,capricia.billings@cms.k12.nc.us,,Child Care Center,9803430372,Yes
60002999,CHARLOTTE JEWISH PRESCHOOL,5007 PROVIDENCE ROAD  CHARLOTTE NC 28226  Mecklenburg,Brooke.Amo@charlottejewishpreschool.org,,Child Care Center,7049446777,Yes
68000301,AUNT RENI'S DAY CARE,501 N NASH STREET  HILLSBOROUGH NC 27278  Orange,mium17@gmail.com,,Family Child Care Home,9198834785,Yes
82000302,ECMHSP NEWTON GROVE EDUCATIONAL CAMPUS,3201 EASY STREET  DUNN NC 28334  Sampson,kcruz@ECMHSP.org,,Child Care Center,9105675512,No
92003039,CREECH ROAD ELEMENTARY,450 CREECH ROAD  GARNER NC 27529  Wake,klewis11@wcpss.net,,Child Care Center,9196622359,No
82000304,AUDREY'S CARE,1201 BARDEN ST  CLINTON NC 28328  Sampson,aumimms@gmail.com,,Family Child Care Home,9109905999,Yes
91000305,ANGELS &amp; CO,1011 HEDRICK DR  HENDERSON NC 27537  Vance,angelsandcompany22@gmail.com,,Family Child Care Home,2527013407,No
92003306,ALL STARZ CHILDREN'S ACADEMY,7240 O'KELLY CHAPEL ROAD  CARY NC 27519  Wake,cary@allstarzchildrensacademy.com,allstarzchildrensacademy.com,Child Care Center,9192372445,No
60003083,BEREWICK ELEMENTARY ASEP,5910 DIXIE RIVER ROAD  CHARLOTTE NC 28278  Mecklenburg,annae.lipscomb@cms.k12.nc.us,,Child Care Center,9803441010,Yes
70000310,ALC ALBEMARLE LEARNING CENTER,1400 NORTH ROAD STREET  ELIZABETH CITY NC 27909  Pasquotank,albemarlelearningcenter@gmail.com,,Child Care Center,2523355551,Yes
41002311,CALVARY KIDS ACADEMY,1501 HUFFINE MILL ROAD  GREENSBORO NC 27405  Guilford,docalicia@aol.com,,Child Care Center,3366215090,Yes
79000312,DRAPER SCHOOL HEAD START,1719 E STADIUM DRIVE  EDEN NC 27288  Rockingham,abarker@rock.k12.nc.us,,Child Care Center,3366122199,No
74000313,ABOVE &amp; BEYOND CHILD CARE,1933 N MEMORIAL DR  GREENVILLE NC 27834  Pitt,childcare1113@gmail.com,,Child Care Center,2527529020,Yes
36000314,BRIGHT FUTURES LEARNING CENTER,188 MAIN STREET  MCADENVILLE NC 28101  Gaston,brightfutures@ymail.com,,Child Care Center,7048243194,Yes
9255315,ASBURY PRESCHOOL,6612 CREEDMOOR ROAD  RALEIGH NC 27613  Wake,preschool@asburyraleigh.org,www.asburyraleigh.org,Child Care Center,9198464773,Yes
92003163,BRIGHT HAVEN ACADEMY,7909 CREEDMOOR RD  RALEIGH NC 27613  Wake,bhacademy13@gmail.com,,Child Care Center,9198441366,Yes
96000317,ANTIOCH CHILD CARE ACADEMY,601 WEST ELM STREET  GOLDSBORO NC 27530  Wayne,accdaycare1@gmail.com,www.antiochofgoldsboro.org,Child Care Center,9197340156,Yes
70000318,BRANDY FERRELL'S CHILD CARE,2351 DELIA DRIVE  ELIZABETH CITY NC 27909  Pasquotank,ferrell2002@msn.com,,Family Child Care Home,2523352160,No
92003199,AUNIE'S PLACE PRESCHOOL,5516 OCRACOKE COURT  RALEIGH NC 27610  Wake,cynthiak9802@yahoo.com,,Family Child Care Home,9196018134,Yes
60003216,BEGINNING YEARS DAY CARE CENTER II, INC.,2728 BEATTIES FORD ROAD  CHARLOTTE NC 28216  Mecklenburg,lindascottc@aol.com,,Child Care Center,7043943335,Yes
92003225,ASHEBRIDGE CHILDREN'S ACADEMY,916 OLD HONEYCUTT RD  FUQUAY-VARINA NC 27526  Wake,chris@ashebridge.com,http://ashebridge.com,Child Care Center,9197620605,Yes
60003239,ARLESHA'S HOME CHILD CARE,3714 PLANTERS WATCH DRIVE  CHARLOTTE NC 28278  Mecklenburg,arleshashomechildcare@gmail.com,,Family Child Care Home,7045898618,Yes
01000324,ARMC FAMILY ENRICHMENT CENTER,981 KIRKPATRICK RD  BURLINGTON NC 27215  Alamance,armc@brighthorizons.com,,Child Care Center,3365869767,Yes
36000325,A TODDLER TECH UNIVERSITY,1223 CRAIG STREET  GASTONIA NC 28054  Gaston,rccl2560@yahoo.com,,Child Care Center,7048665251,Yes
14000326,BATON WRAPAROUND,1400 BATON SCHOOL ROAD  GRANITE FALLS NC 28630  Caldwell,mkidder@caldwellschools.com,,Child Care Center,8287289531,Yes
92003272,COUNTRY DAY MONTESSORI SCHOOL OF RALEIGH,1201 KENT ROAD  RALEIGH NC 27606  Wake,cdmraleigh@gmail.com,,Child Care Center,9198514054,Yes
23000328,BERRYLAND CLUBHOUSE II,512 S DEKALB ST  SHELBY NC 28150  Cleveland,berrylandclubhouse@yahoo.com,,Child Care Center,7044825102,Yes
68000329,HOLMES CHILD CARE,216 N ROBERSON ST  CHAPEL HILL NC 27516  Orange,leighbone@aol.com,,Child Care Center,9199425495,Yes
33000446,A PLACE FOR KIDS HOME DAYCARE,8280 HWY 42 EAST  CONETOE NC 27819  Edgecombe,shakena29@yahoo.com,,Family Child Care Home,2529166366,Yes
54000331,BANKS ELEMENTARY PRESCHOOL,2148 FALLING CREEK ROAD  KINSTON NC 28504  Lenoir,edawson@lenoir.k12.nc.us,,Child Care Center,2525278099,No
